experiment unique_barcode_identifier sortcery_gate barcode1 barcode2
160902_x1 120 1 0 5
160902_x1 126 1 6 5
160902_x1 132 2 12 5
160902_x1 138 2 18 5
160902_x1 121 3 1 5
160902_x1 127 3 7 5
160902_x1 133 4 13 5
160902_x1 139 4 19 5
160902_x1 122 5 2 5
160902_x1 128 5 8 5
160902_x1 134 6 14 5
160902_x1 140 6 20 5
160902_x1 123 7 3 5
160902_x1 129 7 9 5
160902_x1 135 8 15 5
160902_x1 141 8 21 5
160902_x1 124 9 4 5
160902_x1 130 9 10 5
160902_x1 136 10 16 5
160902_x1 142 10 22 5
160902_x1 125 11 5 5
160902_x1 131 11 11 5
160902_x1 137 12 17 5
160902_x1 143 12 23 5
160819_f100 0 1 0 0
160819_f100 6 1 6 0
160819_f100 12 2 12 0
160819_f100 18 2 18 0
160819_f100 1 3 1 0
160819_f100 7 3 7 0
160819_f100 13 4 13 0
160819_f100 19 4 19 0
160819_f100 2 5 2 0
160819_f100 8 5 8 0
160819_f100 14 6 14 0
160819_f100 20 6 20 0
160819_f100 3 7 3 0
160819_f100 9 7 9 0
160819_f100 15 8 15 0
160819_f100 21 8 21 0
160819_f100 4 9 4 0
160819_f100 10 9 10 0
160819_f100 16 10 16 0
160819_f100 22 10 22 0
160819_f100 5 11 5 0
160819_f100 11 11 11 0
160819_f100 17 12 17 0
160819_f100 23 12 23 0
160831_m1r 96 1 0 4
160831_m1r 102 1 6 4
160831_m1r 109 2 13 4
160831_m1r 114 2 18 4
160831_m1r 97 3 1 4
160831_m1r 103 3 7 4
160831_m1r 108 4 12 4
160831_m1r 115 4 19 4
160831_m1r 98 5 2 4
160831_m1r 104 5 8 4
160831_m1r 110 6 14 4
160831_m1r 116 6 20 4
160831_m1r 99 7 3 4
160831_m1r 105 7 9 4
160831_m1r 111 8 15 4
160831_m1r 117 8 21 4
160831_m1r 100 9 4 4
160831_m1r 106 9 10 4
160831_m1r 112 10 16 4
160831_m1r 118 10 22 4
160831_m1r 101 11 5 4
160831_m1r 107 11 11 4
160831_m1r 113 12 17 4
160831_m1r 119 12 23 4
160826_m1 72 1 0 3
160826_m1 78 1 6 3
160826_m1 85 2 13 3
160826_m1 90 2 18 3
160826_m1 73 3 1 3
160826_m1 79 3 7 3
160826_m1 84 4 12 3
160826_m1 91 4 19 3
160826_m1 74 5 2 3
160826_m1 80 5 8 3
160826_m1 86 6 14 3
160826_m1 92 6 20 3
160826_m1 75 7 3 3
160826_m1 81 7 9 3
160826_m1 87 8 15 3
160826_m1 93 8 21 3
160826_m1 76 9 4 3
160826_m1 82 9 10 3
160826_m1 88 10 16 3
160826_m1 94 10 22 3
160826_m1 77 11 5 3
160826_m1 83 11 11 3
160826_m1 89 12 17 3
160826_m1 95 12 23 3
160906_x100 48 1 0 2
160906_x100 54 1 6 2
160906_x100 60 2 12 2
160906_x100 66 2 18 2
160906_x100 49 3 1 2
160906_x100 55 3 7 2
160906_x100 61 4 13 2
160906_x100 67 4 19 2
160906_x100 50 5 2 2
160906_x100 56 5 8 2
160906_x100 62 6 14 2
160906_x100 68 6 20 2
160906_x100 51 7 3 2
160906_x100 57 7 9 2
160906_x100 63 8 15 2
160906_x100 69 8 21 2
160906_x100 52 9 4 2
160906_x100 58 9 10 2
160906_x100 64 10 16 2
160906_x100 70 10 22 2
160906_x100 53 11 5 2
160906_x100 59 11 11 2
160906_x100 65 12 17 2
160906_x100 71 12 23 2
