experiment unique_barcode_identifier sortcery_gate barcode1 barcode2
BCL-xl_1nM 72 1 0 3
BCL-xl_1nM 78 1 6 3
BCL-xl_1nM 84 1 12 3
BCL-xl_1nM 90 1 18 3
BCL-xl_1nM 73 1 1 3
BCL-xl_1nM 79 2 7 3
BCL-xl_1nM 85 2 13 3
BCL-xl_1nM 157 2 13 6
BCL-xl_1nM 91 2 19 3
BCL-xl_1nM 74 3 2 3
BCL-xl_1nM 80 3 8 3
BCL-xl_1nM 86 4 14 3
BCL-xl_1nM 92 4 20 3
BCL-xl_1nM 75 5 3 3
BCL-xl_1nM 81 5 9 3
BCL-xl_1nM 87 6 15 3
BCL-xl_1nM 93 6 21 3
BCL-xl_1nM 76 7 4 3
BCL-xl_1nM 82 7 10 3
BCL-xl_1nM 88 8 16 3
BCL-xl_1nM 94 8 22 3
BCL-xl_1nM 77 9 5 3
BCL-xl_1nM 83 10 11 3
BCL-xl_1nM 89 11 17 3
BCL-xl_1nM 95 12 23 3
Bcl-xl_100nM 0 1 0 0
Bcl-xl_100nM 6 1 6 0
Bcl-xl_100nM 12 1 12 0
Bcl-xl_100nM 18 1 18 0
Bcl-xl_100nM 1 2 1 0
Bcl-xl_100nM 7 2 7 0
Bcl-xl_100nM 13 2 13 0
Bcl-xl_100nM 2 3 2 0
Bcl-xl_100nM 19 3 19 0
Bcl-xl_100nM 8 4 8 0
Bcl-xl_100nM 152 4 8 6
Bcl-xl_100nM 14 5 14 0
Bcl-xl_100nM 158 5 14 6
Bcl-xl_100nM 20 6 20 0
Bcl-xl_100nM 164 6 20 6
Bcl-xl_100nM 3 7 3 0
Bcl-xl_100nM 9 7 9 0
Bcl-xl_100nM 15 8 15 0
Bcl-xl_100nM 21 8 21 0
Bcl-xl_100nM 4 9 4 0
Bcl-xl_100nM 10 9 10 0
Bcl-xl_100nM 16 10 16 0
Bcl-xl_100nM 160 10 16 6
Bcl-xl_100nM 22 10 22 0
Bcl-xl_100nM 5 11 5 0
Bcl-xl_100nM 149 11 5 6
Bcl-xl_100nM 11 11 11 0
Bcl-xl_100nM 17 12 17 0
Bcl-xl_100nM 23 12 23 0
Bcl-xl_100nM 167 12 23 6
BFL1_100nM 48 1 0 2
BFL1_100nM 54 1 6 2
BFL1_100nM 60 1 12 2
BFL1_100nM 144 1 0 6
